dataset,m,ks,depth,num_layers,num_heads,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
NASA,16,2,2,2,4,B0005,0.0035892728377472,0.0017996964415942,0.0192153803474628,0.0419853948367308,27,0.365616352000135
NASA,16,2,2,2,4,B0006,0.0026640507117421,0.003923102049157,0.0314443250342137,0.061840339319422,38,0.3608679648103385
NASA,16,2,2,2,4,B0007,0.0018643783405423,0.0008949790353653,0.017159175223776,0.0294199814134191,64,0.2950886942091442
NASA,16,2,2,2,4,B0018,0.0039364314094806,0.0047197265084832,0.0506007681221268,0.0668107988552948,11,0.4083543208337599
NASA,16,2,2,2,8,B0005,0.0028103538683022,0.0018717958391789,0.0171661629146814,0.0429223500785191,27,0.3633198281551929
NASA,16,2,2,2,8,B0006,0.0076884790958667,0.0038293094063798,0.0459334188596604,0.060152486352103,14,0.3513212624718161
NASA,16,2,2,2,8,B0007,0.0055043190045075,0.0018247231084387,0.0353859271930236,0.0412250744869412,10,0.3083862702051798
NASA,16,2,2,2,8,B0018,0.0032338529999833,0.0037429534519712,0.0269891263061609,0.0605814499220944,19,0.370013707723373
NASA,16,2,2,3,1,B0005,0.0609495741399851,0.0502321219537407,0.0756053458537761,0.2228463743071462,16,0.506439553366767
NASA,16,2,2,3,1,B0006,0.0042972518025304,0.0035479383853574,0.0314214771329106,0.0587299542060413,40,0.4669439991315205
NASA,16,2,2,3,1,B0007,0.0025513381050485,0.0009801560707273,0.0155144128219754,0.0309206462537469,54,0.4029964981852351
NASA,16,2,2,3,1,B0018,0.0070739477523602,0.003558911771203,0.0648090829780385,0.0560257985385733,14,0.5116287610110115
NASA,16,2,2,3,2,B0005,0.0033852228873663,0.0020328049795352,0.0171190681453605,0.0447604587382,43,0.4903751365722172
NASA,16,2,2,3,2,B0006,0.0025682228151708,0.0037789894267916,0.0220179902523771,0.0610779030834991,37,0.4801436139826189
