dataset,ks,depth,num_layers,num_heads,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
NASA,2,2,4,1,B0006,0.003144166569902816,0.004412787578379114,0.023046162587203045,0.0660278352518916,39,0.6040371676622811
NASA,2,2,4,1,B0007,0.0032525434831364285,0.0012469925117329695,0.023568100447404837,0.03451734321405624,41,0.5267847952295522
NASA,2,2,4,1,B0018,0.004606694215908647,0.002881009092864891,0.02253372123723065,0.05319992744498152,13,0.6457019863706647
NASA,2,2,4,2,B0005,0.07036092606457797,0.07647232548333704,0.11336781219958049,0.27420266372890867,3,0.6327643601790719
NASA,2,2,4,2,B0006,0.006610680794851346,0.0049433771055191755,0.040471728927053634,0.06913451423239723,18,0.6216983481457359
NASA,2,2,4,2,B0007,0.0032033418408698505,0.0009667498932685703,0.013832424515418013,0.030783376988228615,59,0.5382100871846646
NASA,2,2,4,2,B0018,0.0048627596503744526,0.004803616475934784,0.026190695042404236,0.06881148998143342,32,0.663535278577071
NASA,2,2,4,4,B0005,0.07027949968522246,0.07667084061540663,0.11330671990101358,0.27456693362019696,3,0.6290824205979056
NASA,2,2,4,4,B0006,0.003964320290833712,0.002999470025921861,0.030465522874385188,0.05391340458770739,24,0.6172235228798606
NASA,2,2,4,4,B0007,0.0028427328215911984,0.0010045659975730814,0.016440694225195132,0.031265577784279776,42,0.5446424561162149
NASA,2,2,4,4,B0018,0.003297985861233125,0.0037556916940957308,0.03577555510731352,0.060230412210097804,44,0.6668540611863136
NASA,2,2,4,8,B0005,0.07033341344107281,0.07658820552751422,0.11315803619844016,0.27442254319780507,3,0.6154378600742506
NASA,2,2,4,8,B0006,0.00420238486152481,0.0021714863444988928,0.029762912317242922,0.045638834873037416,24,0.6114256978034973
NASA,2,2,4,8,B0007,0.003646076424047351,0.0013914247596403585,0.016262857943896054,0.036945591237933416,36,0.53720594729696
NASA,2,2,4,8,B0018,0.07045180940379699,0.06771497335284948,0.05982001402040922,0.25953252271860344,21,0.6537632186238359
NASA,2,3,1,1,B0005,0.005060032602738251,0.002400149136519758,0.023575298835494234,0.04842075586760556,35,0.24737809354608709
NASA,2,3,1,1,B0006,0.0038213836219669743,0.0036806132023533187,0.043164262130147645,0.05911258624641365,26,0.236176293829213
NASA,2,3,1,1,B0007,0.005337124871503975,0.0014026543532963843,0.027698634738038158,0.03641336218305103,31,0.2065862113354253
NASA,2,3,1,1,B0018,0.0030306034216967723,0.003460839429559807,0.023733962608648393,0.05834817286043889,26,0.2551878431568975
NASA,2,3,1,2,B0005,0.00519590795209462,0.002385828378464794,0.023886727721277135,0.048257339253129285,35,0.2793054537339644
NASA,2,3,1,2,B0006,0.0038244717817922883,0.0036521138778577247,0.042979936832294466,0.058884517112935575,26,0.2884460687637329
NASA,2,3,1,2,B0007,0.005356995854526758,0.0014364933798788116,0.02802701596407331,0.036850265201670486,31,0.2011698227302701
NASA,2,3,1,2,B0018,0.0031154761769964048,0.0034216030035167933,0.024341408587890575,0.057985796627844324,26,0.26771312692891
